Start (of zoals de Russen zeggen 'начало'): 2013-11-20 21:29:17.597102
Loaded 161 entries
End: 2013-11-20 21:29:26.056390
Run: 0:00:08.459288
         6306369 function calls (6305292 primitive calls) in 8.500 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       65    0.000    0.000    0.008    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/lexer.py:342(__next__)
       65    0.001    0.000    0.007    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/lexer.py:548(wrap)
      208    0.001    0.000    0.007    0.000 /home/bram/program/hoehetis.nl/src/gen.py:23(publishedDateOf)
      2/1    0.000    0.000    0.007    0.007 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/parser.py:141(parse_statements)
       12    0.000    0.000    0.006    0.001 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/sre_parse.py:725(parse)
    10022    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
    35/12    0.001    0.000    0.006    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/sre_parse.py:341(_parse_sub)
      682    0.002    0.000    0.005    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/nodes.py:164(iter_child_nodes)
        9    0.000    0.000    0.005    0.001 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/parser.py:578(parse_tuple)
    50/13    0.002    0.000    0.005    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/sre_parse.py:419(_parse)
        1    0.001    0.001    0.005    0.005 /home/bram/program/hoehetis.nl/src/gen.py:76(<listcomp>)
        1    0.000    0.000    0.005    0.005 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/collections/__init__.py:449(__init__)
        1    0.000    0.000    0.005    0.005 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/collections/__init__.py:512(update)
        1    0.000    0.000    0.005    0.005 /home/bram/program/hoehetis.nl/src/gen.py:186(googleChartDataFor)
     10/7    0.000    0.000    0.005    0.001 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/parser.py:380(parse_expression)
      3/1    0.000    0.000    0.005    0.005 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/compiler.py:477(blockvisit)
     10/7    0.000    0.000    0.005    0.001 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/parser.py:402(parse_or)
     10/7    0.000    0.000    0.005    0.001 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/parser.py:411(parse_and)
     10/7    0.000    0.000    0.005    0.001 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/parser.py:420(parse_not)
      2/1    0.000    0.000    0.005    0.005 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/compiler.py:1036(visit_For)
     10/7    0.000    0.000    0.005    0.001 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/parser.py:426(parse_compare)
       79    0.001    0.000    0.005    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/lexer.py:593(tokeniter)
        1    0.002    0.002    0.005    0.005 {built-in method _count_elements}
     10/7    0.000    0.000    0.005    0.001 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/parser.py:448(parse_add)
