Start (of zoals de Russen zeggen 'начало'): 2013-11-20 21:29:17.597102
Loaded 161 entries
End: 2013-11-20 21:29:26.056390
Run: 0:00:08.459288
         6306369 function calls (6305292 primitive calls) in 8.500 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      161    0.000    0.000    0.000    0.000 {method 'date' of 'datetime.datetime' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1030(get_data)
       78    0.000    0.000    0.000    0.000 {method 'count' of 'str' objects}
        2    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/compiler.py:338(visit_For)
        1    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/__future__.py:48(<module>)
        4    0.000    0.000    0.000    0.000 {built-in method print}
        2    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/compiler.py:602(push_scope)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:796(is_package)
        6    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/nodes.py:637(as_const)
      186    0.000    0.000    0.000    0.000 {built-in method min}
       22    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/_compat.py:28(<lambda>)
        2    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/nodes.py:194(set_ctx)
      152    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       30    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/nodes.py:97(get_eval_context)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(_path_join)
       18    0.000    0.000    0.000    0.000 {method 'groupdict' of '_sre.SRE_Match' objects}
        3    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/compiler.py:141(__init__)
        4    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/sre_parse.py:234(isname)
      108    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/environment.py:375(getitem)
        7    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/nodes.py:657(as_const)
        1    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/filters.py:226(do_sort)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:86(_path_split)
        1    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/lexer.py:189(compile_rules)
        1    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/environment.py:238(__init__)
       10    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/compiler.py:1374(visit_Name)
       66    0.000    0.000    0.000    0.000 {built-in method intern}
        1    0.000    0.000    0.000    0.000 {built-in method today}
        3    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/compiler.py:572(pull_locals)
        2    0.000    0.000    0.000    0.000 {built-in method now}
        2    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/compiler.py:624(pop_scope)
       19    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/compiler.py:259(visit_Name)
        7    0.000    0.000    0.000    0.000 {built-in method repr}
       20    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/lexer.py:308(__bool__)
       15    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/sre_parse.py:74(opengroup)
        3    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/codecs.py:659(__init__)
        2    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/compiler.py:210(inner)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:804(_bytes_from_bytecode)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:266(_get_module_lock)
       10    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/compiler.py:277(visit_Name)
        7    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/lexer.py:253(test_any)
        1    0.000    0.000    0.000    0.000 {built-in method sum}
        1    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/codecs.py:677(read)
        1    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/environment.py:995(new_context)
       60    0.000    0.000    0.000    0.000 {built-in method max}
      142    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
        2    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/utils.py:336(get)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:108(_path_isfile)
        3    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/environment.py:370(iter_extensions)
       24    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/sre_compile.py:471(isstring)
        1    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/runtime.py:53(new_context)
       11    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/nodes.py:81(__init__)
        1    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/codecs.py:429(read)
        2    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/compiler.py:1486(visit_Getattr)
       30    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        7    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/_weakrefset.py:26(__exit__)
        4    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/compiler.py:519(signature)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1040(path_stats)
        9    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/parser.py:98(is_tuple_end)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:98(_path_is_mode_type)
       12    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/sre_parse.py:713(fix_flags)
       78    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/compiler.py:201(find_shadowed)
        1    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/encodings/__init__.py:42(normalize_encoding)
        7    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/_weakrefset.py:36(__init__)
       14    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/filters.py:255(sort_func)
       15    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/sre_parse.py:85(closegroup)
        1    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/environment.py:478(preprocess)
        2    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/utils.py:402(__setitem__)
        1    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/runtime.py:112(__init__)
       12    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/sre_parse.py:69(__init__)
        1    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
        2    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/utils.py:380(__getitem__)
       47    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/sre_parse.py:228(isident)
       10    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/nodes.py:457(as_const)
        3    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/codecs.py:401(__init__)
        7    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/_weakrefset.py:20(__enter__)
       69    0.000    0.000    0.000    0.000 {method 'end' of '_sre.SRE_Match' objects}
       14    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/src/gen.py:187(<lambda>)
       14    0.000    0.000    0.000    0.000 {method 'rstrip' of 'bytes' objects}
       14    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/nodes.py:354(as_const)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:201(acquire)
        1    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/genericpath.py:15(exists)
        2    0.000    0.000    0.000    0.000 {method 'read' of '_io.FileIO' objects}
        1    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/encodings/unicode_escape.py:36(getregentry)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:226(release)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:181(__init__)
       24    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        7    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/_weakrefset.py:79(add)
       37    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1593(_handle_fromlist)
        5    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/compiler.py:255(__init__)
       16    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/compiler.py:366(__init__)
       26    0.000    0.000    0.000    0.000 {built-in method iter}
       35    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/compiler.py:104(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.3/json/encoder.py:196(iterencode)
        1    0.000    0.000    0.000    0.000 {method 'getvalue' of '_io.StringIO' objects}
       20    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/sre_parse.py:136(__setitem__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:61(_r_long)
        2    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/compiler.py:1380(visit_Const)
        1    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/environment.py:931(_from_namespace)
        6    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/sre_parse.py:761(literal)
        3    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        8    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/_weakrefset.py:68(__contains__)
       10    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/compiler.py:128(is_declared)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
       43    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1452(__enter__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:643(find_module)
        1    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/lexer.py:486(<listcomp>)
        4    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:486(_verbose_message)
       61    0.000    0.000    0.000    0.000 {built-in method ord}
       22    0.000    0.000    0.000    0.000 {built-in method encode_basestring_ascii}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:154(new_module)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1456(__exit__)
        1    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/lexer.py:354(close)
        8    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/__future__.py:77(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:700(find_module)
        3    0.000    0.000    0.000    0.000 {built-in method lookup}
        7    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/_weakrefset.py:16(__init__)
        3    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/compiler.py:425(temporary_identifier)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1260(_path_importer_cache)
       41    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/src/entries.py:66(find)
        7    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/_weakrefset.py:52(_commit_removals)
        1    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/codecs.py:77(__new__)
        6    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/compiler.py:455(outdent)
        1    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/environment.py:90(_environment_sanity_check)
        6    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/compiler.py:451(indent)
       28    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        7    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
        2    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/compiler.py:208(<genexpr>)
        4    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       19    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        1    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/src/entries.py:61(removeOldestWhenOver)
        6    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/compiler.py:853(<genexpr>)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1012(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method _fix_co_filename}
        4    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.3/json/encoder.py:98(__init__)
        7    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/collections/abc.py:129(__subclasshook__)
        9    0.000    0.000    0.000    0.000 {built-in method id}
        2    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/lexer.py:217(__init__)
        8    0.000    0.000    0.000    0.000 {built-in method release_lock}
        1    0.000    0.000    0.000    0.000 {built-in method is_builtin}
        4    0.000    0.000    0.000    0.000 {built-in method allocate_lock}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.3/json/encoder.py:251(_make_iterencode)
        1    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/compiler.py:233(__init__)
        1    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/lexer.py:209(<listcomp>)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1025(get_filename)
        4    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/compiler.py:529(<genexpr>)
       14    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/__future__.py:76(_Feature)
        1    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/encodings/unicode_escape.py:13(Codec)
        4    0.000    0.000    0.000    0.000 {built-in method get_ident}
        1    0.000    0.000    0.000    0.000 {built-in method utf_8_decode}
        2    0.000    0.000    0.000    0.000 {built-in method is_frozen}
        2    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/nodes.py:420(can_assign)
        5    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/codecs.py:326(__init__)
       11    0.000    0.000    0.000    0.000 {built-in method callable}
        3    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/compiler.py:274(__init__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:38(_relax_case)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:280(cb)
        3    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/runtime.py:146(resolve)
        8    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/sre_compile.py:25(_identityfunction)
        6    0.000    0.000    0.000    0.000 {built-in method acquire_lock}
        7    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        4    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
        1    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/environment.py:78(load_extensions)
        4    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/encodings/unicode_escape.py:20(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/optimizer.py:32(__init__)
        1    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/runtime.py:123(<genexpr>)
        1    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/environment.py:843(make_globals)
        1    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/encodings/unicode_escape.py:24(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 {built-in method reduce}
        2    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/_compat.py:17(<lambda>)
        1    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/encodings/unicode_escape.py:28(StreamWriter)
        3    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/codecs.py:725(__enter__)
        1    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/encodings/unicode_escape.py:31(StreamReader)
        1    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/environment.py:60(create_cache)
        1    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/compiler.py:848(<genexpr>)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        2    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/sre_parse.py:833(<lambda>)


